circuito,electores_totales,cant_votantes,buenos_aires_primero,Coalicion_civica,Confluencia,el_movimiento,es_ahora_buenos_aires,evolución,frente_patriota_federal,Izquierda,la_izquierda_en_la_ciudad,la_libertad_avanza,movimiento_plural,MID,principios_y_valores,seamos_libres,unión_porteña_libertaria,unión_del_centro_democrático,volvamos_buenos_aires,blanco,impugnado,votos_nulos,recurrido,no_voto,agno
1,13078,7902,995,178,72,16,2772,133,13,356,45,1849,11,166,186,73,51,191,648,140,2,4,1,5176,2025
2,11380,6383,892,164,46,14,2098,121,16,298,32,1649,6,92,132,37,28,154,474,117,0,12,1,4997,2025
3,3278,1887,383,44,5,2,199,34,0,15,1,944,2,15,17,0,11,63,127,22,0,3,0,1391,2025
4,2559,1452,350,35,2,1,138,18,4,8,3,735,1,10,9,4,3,43,80,8,0,0,0,1107,2025
5,12925,5423,1119,12,17,26,1518,125,9,148,23,1195,28,64,102,90,94,122,568,148,2,9,4,7502,2025
6,16716,9897,2409,360,9,6,1085,115,9,118,16,4490,8,65,84,13,52,379,566,108,0,3,2,6819,2025
7,7668,4517,1048,173,6,3,673,87,4,68,9,1769,8,35,46,13,24,174,319,56,0,1,1,3151,2025
8,8226,4123,822,117,9,8,826,79,6,81,13,1518,2,30,62,15,21,171,252,75,4,2,10,4103,2025
9,11093,5414,977,123,17,7,1167,101,15,127,25,1935,17,48,77,24,34,227,386,97,0,10,0,5679,2025
10,10974,6034,1112,178,11,11,1375,144,16,167,18,2010,9,92,84,27,28,187,445,113,1,6,0,4940,2025
11,11876,6203,936,122,26,4,1829,118,13,210,18,1793,8,102,161,41,37,222,441,114,0,8,0,5673,2025
12,15665,8648,1191,175,37,15,2691,177,17,333,37,2393,18,142,204,56,64,276,649,165,1,7,0,7017,2025
13,11703,6729,988,146,24,18,2106,137,14,253,28,1794,11,119,147,33,37,180,550,136,1,6,1,4974,2025
14,5224,2628,407,54,3,4,702,35,3,81,12,807,4,56,65,17,22,102,190,59,0,4,1,2596,2025
15,8047,4219,503,78,24,11,1445,151,14,185,29,1056,14,53,105,45,27,118,276,74,0,9,2,3828,2025
16,12224,7042,895,165,40,19,2285,140,10,325,34,1811,11,133,179,62,43,195,557,124,0,13,1,5182,2025
17,9389,5430,773,119,25,17,1721,137,10,243,30,1378,12,89,108,35,39,169,409,103,0,12,1,3959,2025
18,7120,3639,422,70,11,12,1219,75,18,130,22,999,8,74,78,28,25,124,267,56,0,1,0,3481,2025
19,11714,5653,691,65,32,15,1864,159,14,188,32,1476,14,114,127,53,61,180,439,124,0,4,1,6061,2025
20,11066,6126,1467,223,8,6,765,93,11,78,14,2579,5,57,47,13,38,227,412,76,0,5,2,4940,2025
21,9581,5599,1397,206,5,6,495,75,5,55,4,2618,9,44,47,6,24,194,325,78,0,5,1,3982,2025
22,15182,9125,2152,360,18,8,1677,208,12,192,22,3054,14,87,92,24,43,269,752,139,0,2,0,6057,2025
23,19002,11555,2598,481,37,7,2109,297,13,219,28,3973,8,121,124,22,57,332,933,185,2,8,1,7447,2025
24,10221,6430,1589,280,12,7,943,104,10,104,15,2481,3,51,67,11,23,210,431,85,0,3,1,3791,2025
25,12337,7401,1837,293,5,11,944,118,11,94,10,3033,0,53,63,8,36,227,548,106,0,4,0,4936,2025
26,16136,9634,2281,359,14,7,1149,160,7,102,18,4188,4,87,102,14,51,402,553,129,1,5,1,6502,2025
27,11832,7015,1531,246,16,8,1334,194,14,169,19,2439,6,50,85,22,44,249,467,115,0,6,1,4817,2025
28,17072,10388,2031,317,35,15,2410,294,14,263,30,3329,14,141,157,43,38,246,817,191,0,3,0,6684,2025
29,12371,7657,1525,275,24,11,1904,202,7,230,28,2229,4,95,122,25,39,209,600,119,2,4,3,4714,2025
30,13762,7631,1130,206,34,21,1986,205,15,241,31,2441,19,105,144,39,69,208,558,160,0,17,2,6131,2025
31,13254,7167,1065,169,20,17,1777,242,8,225,26,2344,8,106,170,28,62,209,549,131,1,9,1,6087,2025
32,11916,6997,1104,205,34,20,2007,171,10,280,23,1937,9,102,144,29,45,152,580,133,0,10,2,4919,2025
33,9454,4917,650,78,18,8,1330,133,9,191,14,1527,10,85,105,29,40,152,383,137,1,16,1,4537,2025
34,13470,7550,1097,159,16,17,2139,182,9,244,37,2290,12,118,190,43,57,232,540,154,2,11,1,5920,2025
35,12013,7061,928,129,28,14,2304,160,12,285,31,1896,11,130,172,38,50,180,559,125,0,8,1,4952,2025
36,8128,4821,555,84,13,14,1686,102,15,212,13,1252,10,86,126,35,36,132,352,94,0,4,0,3307,2025
37,10379,6168,825,137,20,16,1972,126,12,242,22,1650,10,119,187,41,22,191,443,120,1,10,2,4211,2025
38,11694,6811,1004,145,26,18,2148,125,17,249,25,1740,11,126,184,40,64,200,542,135,2,10,0,4883,2025
39,14868,8754,1151,210,34,14,2728,216,18,336,41,2372,17,168,201,50,61,261,694,165,1,15,1,6114,2025
40,9362,6155,863,124,24,10,1975,114,10,248,27,1670,21,110,125,33,24,160,512,98,0,6,1,3207,2025
41,17619,10844,1422,196,39,30,3651,220,34,464,49,2764,26,200,307,82,74,269,797,209,2,8,1,6775,2025
42,16615,10211,1424,212,42,18,3227,188,15,405,38,2696,13,200,228,74,69,270,838,243,0,10,1,6404,2025
43,14187,9376,1293,198,38,27,2951,218,23,412,42,2377,12,194,279,63,57,233,770,182,0,6,1,4811,2025
44,7209,4716,648,82,20,16,1567,91,3,187,24,1198,4,99,131,40,29,101,383,89,0,4,0,2493,2025
45,7060,4180,567,67,32,13,1380,67,12,155,18,1028,4,103,125,35,34,111,348,71,0,10,0,2880,2025
46,6305,3762,511,53,11,10,1234,70,7,131,21,982,5,69,110,28,20,104,296,93,0,7,0,2543,2025
47,23162,11459,1201,100,41,38,4296,202,19,345,41,2677,28,215,275,237,231,339,933,235,2,4,0,11703,2025
48,13920,7846,1267,178,31,24,2327,201,9,289,40,2084,18,162,137,39,46,215,639,132,0,7,1,6074,2025
49,11792,6967,886,122,25,25,2212,136,17,225,32,1891,12,172,177,46,56,215,544,158,0,16,0,4825,2025
50,13663,8581,1544,200,65,15,2375,179,10,279,32,2395,17,136,136,67,47,241,674,162,0,6,1,5082,2025
51,9760,6313,1109,146,25,16,1676,143,9,184,22,1803,21,144,112,34,34,176,543,112,0,4,0,3447,2025
52,11766,6293,685,58,20,28,2071,165,14,218,39,1631,27,173,166,54,74,186,527,146,0,10,1,5473,2025
53,13913,7409,857,57,26,26,2370,413,16,232,35,1798,20,168,212,68,98,184,675,145,0,9,0,6504,2025
54,14920,8987,1287,138,39,29,2855,302,19,313,50,2321,16,195,230,51,51,202,704,175,1,5,4,5933,2025
55,8258,4815,527,60,13,11,1586,103,11,153,18,1234,13,131,143,45,65,115,445,123,0,19,0,3443,2025
56,9138,5506,595,65,5,15,1765,89,7,175,29,1571,10,149,182,43,52,155,471,125,0,3,0,3632,2025
57,18396,11376,1360,185,34,27,3589,231,19,412,61,3163,18,268,344,74,73,329,944,233,1,7,4,7020,2025
58,13833,9146,1210,176,23,20,3164,217,15,343,45,2263,19,181,239,56,61,198,727,178,0,10,1,4687,2025
59,9753,6407,796,146,14,16,2268,135,8,255,35,1609,7,119,166,34,27,159,474,133,0,6,0,3346,2025
60,15296,10246,1473,246,33,8,3524,214,9,436,40,2415,17,200,256,71,43,224,799,225,0,11,2,5050,2025
61,11111,7439,1200,247,19,17,2314,181,5,293,26,1938,14,115,157,28,38,173,545,123,0,6,0,3672,2025
62,9915,6511,903,150,25,19,2174,130,12,282,36,1618,12,131,149,28,37,185,507,109,1,3,0,3404,2025
63,19145,12386,1894,340,46,27,3797,272,27,505,48,3238,23,185,248,56,69,344,999,257,0,11,0,6759,2025
64,20794,12948,1992,332,49,30,4080,294,22,543,63,3323,25,204,282,48,51,287,1083,230,1,9,0,7846,2025
65,9399,5802,885,161,20,10,1806,136,8,210,28,1513,10,92,123,23,36,172,431,129,0,9,0,3597,2025
66,12828,8285,1248,222,34,16,2598,235,10,329,34,2198,10,114,145,30,33,208,674,141,2,4,0,4543,2025
67,19715,12675,1858,358,56,35,4030,352,19,497,50,3240,10,176,252,67,60,278,1095,229,0,10,3,7040,2025
68,19399,12978,2149,433,46,13,4161,321,19,524,59,3172,26,167,234,40,63,263,1025,252,0,10,1,6421,2025
69,28216,19038,3855,662,40,23,4794,443,29,598,48,5430,12,296,362,62,61,437,1495,374,0,17,0,9178,2025
70,25307,16950,2771,547,64,28,5209,391,21,579,70,4462,16,281,304,75,85,436,1267,320,0,19,5,8357,2025
71,30444,20491,3872,623,47,30,5310,484,27,678,75,5940,23,342,379,82,77,517,1613,358,1,9,4,9953,2025
72,12175,8184,1164,229,36,22,2570,181,6,356,37,2173,4,133,163,47,66,176,634,179,0,8,0,3991,2025
73,17393,11992,1815,304,43,15,3643,305,19,494,51,3234,16,226,216,44,58,268,1014,219,2,6,0,5401,2025
74,23953,16237,3077,563,38,22,3870,369,23,489,49,5026,14,213,281,52,65,391,1366,304,3,22,0,7716,2025
75,10237,7014,1066,211,30,24,2128,105,12,277,26,1874,12,116,147,42,29,165,597,139,0,14,0,3223,2025
76,16366,11219,1676,272,34,7,3342,244,14,408,36,3109,11,208,272,53,53,245,1025,199,1,8,2,5147,2025
77,13183,8794,1097,184,17,21,2937,209,10,296,36,2253,6,226,277,58,60,230,689,178,1,9,0,4389,2025
78,10673,6928,871,149,23,8,2143,128,15,216,31,1999,4,115,218,77,47,185,547,141,0,5,6,3745,2025
79,13129,7423,1095,142,20,17,1988,139,16,255,31,2424,4,136,178,34,44,216,522,154,0,8,0,5706,2025
80,13297,8981,1406,261,23,11,2537,249,12,312,24,2626,7,161,184,35,39,212,737,144,0,0,1,4316,2025
81,12146,7840,1227,193,22,4,2132,193,15,245,26,2478,12,99,167,40,33,172,637,138,0,7,0,4306,2025
82,14375,9054,1369,205,31,13,2542,197,17,311,38,2721,11,177,225,44,47,232,688,177,0,9,0,5321,2025
83,19784,12928,2425,407,34,14,3118,267,8,369,46,4029,12,203,221,40,61,346,1057,258,1,9,3,6856,2025
84,10908,7354,1003,184,26,18,2229,154,14,245,30,2096,3,140,184,52,42,196,593,141,0,4,0,3554,2025
85,11484,7658,1456,262,19,5,1645,174,7,194,26,2573,12,120,144,20,31,205,628,128,1,7,1,3826,2025
86,31525,16010,1554,160,41,48,5194,345,37,489,54,4707,23,307,645,200,170,509,1091,402,3,31,0,15515,2025
87,36027,19890,2008,150,91,80,7070,665,22,526,87,4950,44,401,687,208,210,512,1651,452,3,48,25,16137,2025
88,19077,12340,1650,272,28,31,3291,303,22,301,32,3904,15,248,261,53,78,328,1216,290,2,14,1,6737,2025
89,47953,27732,2910,350,71,71,8971,627,54,736,126,8098,36,561,779,192,259,729,2546,582,4,25,5,20221,2025
90,46709,25199,2803,331,79,85,8733,605,41,617,127,6631,37,503,709,240,224,648,2215,542,2,25,2,21510,2025
91,10685,5659,483,44,19,30,1772,153,20,135,28,1718,12,115,211,45,95,170,456,145,0,8,0,5026,2025
92,13360,8560,1116,174,26,19,2537,150,18,360,38,2480,10,204,229,46,56,231,654,196,4,11,1,4800,2025
93,8212,5382,641,123,14,8,1776,106,10,168,19,1488,15,97,168,30,46,118,422,129,0,4,0,2830,2025
94,10655,6945,864,148,23,12,2347,149,14,278,35,1812,16,167,184,38,47,160,516,126,1,7,1,3710,2025
95,15857,10489,1402,315,32,24,3190,172,12,304,47,3097,18,221,270,59,56,249,814,200,0,7,0,5368,2025
96,11794,7487,861,139,12,28,2423,145,20,245,30,2115,7,173,225,42,71,177,587,163,0,23,1,4307,2025
97,11579,6983,795,123,13,14,2488,119,17,200,29,1865,7,147,191,51,57,139,606,115,0,6,1,4596,2025
98,24735,16135,2275,487,19,35,4516,324,29,402,67,4882,27,369,409,82,94,404,1368,326,3,14,3,8600,2025
99,10965,7445,1147,189,12,11,2025,150,12,173,34,2372,8,171,162,30,48,162,585,149,1,4,0,3520,2025
100,13943,9607,1406,276,24,17,2591,241,12,270,39,2852,8,200,232,34,64,240,872,222,2,4,1,4336,2025
101,18297,11348,1741,360,30,23,3045,214,27,346,37,3435,21,233,269,49,62,288,946,214,2,6,0,6949,2025
102,13051,8915,1363,220,16,9,2294,146,10,282,51,2842,7,206,163,31,41,219,820,187,0,7,1,4136,2025
103,12097,8102,1137,214,34,23,2131,175,12,237,27,2533,18,181,175,24,54,190,745,180,0,9,3,3995,2025
104,12178,8349,1137,168,29,16,2494,155,10,280,35,2437,9,229,169,38,33,195,708,188,6,13,0,3829,2025
105,20193,13736,1965,332,29,27,3823,320,23,448,48,4084,20,365,318,60,77,335,1156,294,0,11,1,6457,2025
106,11275,7618,1034,195,10,13,2150,192,15,253,45,2279,16,180,186,42,33,188,599,173,1,14,0,3657,2025
107,19089,12918,1853,344,28,23,3746,344,17,452,66,3684,10,282,304,57,68,304,1099,223,1,12,1,6171,2025
108,11662,7984,1081,213,21,16,2391,210,6,292,31,2235,11,191,213,37,38,205,619,162,3,9,0,3678,2025
109,20061,13097,1840,325,42,25,3980,281,28,543,55,3633,5,279,305,78,82,317,1003,264,0,12,0,6964,2025
110,11043,7502,994,159,18,16,2478,160,8,265,36,1970,5,150,169,49,31,196,623,168,2,5,0,3541,2025
111,11263,6814,890,178,21,14,1990,123,15,265,29,1942,6,151,197,20,39,184,563,172,0,9,6,4449,2025
112,8226,5105,722,106,14,10,1527,97,16,199,22,1421,8,113,148,28,40,140,393,96,0,4,1,3121,2025
113,12534,8530,1112,182,28,24,2476,166,18,354,46,2544,10,172,181,60,44,203,731,163,3,13,0,4004,2025
114,16798,11367,1591,269,40,19,3359,234,15,432,60,3148,8,276,235,46,57,281,1044,233,1,18,1,5431,2025
115,11911,7858,1034,166,25,9,2593,173,10,284,33,2063,6,200,186,34,40,170,658,163,0,11,0,4053,2025
116,17118,11454,1526,262,38,29,3720,256,23,436,54,3004,9,261,257,38,67,255,964,243,2,8,2,5664,2025
117,18024,12375,1820,310,44,26,3582,288,27,468,59,3437,8,256,236,52,72,285,1135,263,0,7,0,5649,2025
118,12688,8654,1436,257,28,10,2270,199,19,270,22,2628,9,148,129,24,43,220,774,164,0,4,0,4034,2025
119,17724,12212,1959,326,36,23,3321,306,13,363,44,3593,8,251,213,44,62,286,1082,265,0,9,8,5512,2025
120,18951,12786,2046,376,40,19,3042,266,17,364,59,4191,16,253,197,34,49,342,1189,274,0,11,1,6165,2025
121,10332,6892,1117,190,22,12,1711,142,12,193,35,2129,7,159,132,17,29,219,591,165,0,10,0,3440,2025
122,12181,8185,1582,249,31,8,1556,136,8,173,22,3149,4,113,103,16,40,224,614,147,1,8,1,3996,2025
123,12187,8289,1346,213,17,14,2037,177,11,250,44,2709,9,142,149,31,38,218,695,181,2,6,0,3898,2025
124,14839,10246,1622,195,33,20,3124,207,16,339,42,2860,8,192,203,38,55,232,864,188,1,6,1,4593,2025
125,19501,13497,2225,354,51,21,3809,280,13,435,52,3859,12,265,267,53,80,262,1181,265,0,13,0,6004,2025
126,17700,12053,1873,282,32,20,3351,287,14,422,39,3528,11,245,267,38,75,273,1051,223,1,19,2,5647,2025
