circuito,comuna_x,mesa,escuela,barrio,comuna_y,electores_totales,cant_votantes,buenos_aires_primero,coalición_cívica_-_afirmación_para_una_república_igualitaria,confluencia_-_por_la_igualdad_y_la_soberanía,el_movimiento,es_ahora_buenos_aires,evolución,frente_patriota_federal,frente_de_izquierda_y_de_trabajadores_-_unidad,la_izquierda_en_la_ciudad,la_libertad_avanza,movimiento_plural,movimiento_de_integración_y_desarrollo,principios_y_valores,seamos_libres,unión_porteña_libertaria,unión_del_centro_democrático,volvamos_buenos_aires,voto_en_blanco,votos_de_identidad_impugnada,votos_nulos,votos_recurridos,no_voto,comuna
52.0,4.0,1686,271,10,4,346,162,15,0,0,1,59,10,0,3,1,39,0,6,5,1,4,5,9,4,0,0,0,184,
18.0,1.0,467,79,6,1,339,175,26,2,1,0,55,3,2,6,2,39,0,5,5,2,0,10,16,1,0,0,0,164,
154.0,14.0,6591,1016,42,14,346,207,32,6,0,0,57,7,0,10,0,65,0,1,3,0,0,5,20,0,0,1,0,139,
34.0,3.0,1068,173,8,3,345,198,27,4,0,0,56,7,1,7,0,65,2,1,6,1,0,6,10,5,0,0,0,147,
132.0,12.0,5491,868,36,12,344,208,41,3,2,0,55,12,0,5,1,57,0,2,3,1,1,5,16,4,0,0,0,136,
62.0,5.0,2050,333,14,5,342,244,43,8,0,0,88,4,0,8,1,55,0,6,7,1,2,3,13,5,0,0,0,98,
105.0,10.0,4258,675,26,10,349,229,30,4,0,0,70,4,0,8,0,66,1,7,7,2,1,8,17,4,0,0,0,120,
82.0,7.0,3038,465,17,7,343,196,27,2,1,0,53,3,0,10,0,68,0,3,4,2,0,2,17,4,0,0,0,147,
27.0,2.0,808,126,7,2,348,214,59,7,0,0,34,8,0,2,2,83,0,0,1,1,0,7,8,2,0,0,0,134,
90.0,8.0,3613,558,21,8,349,179,25,3,1,0,55,6,0,2,0,50,0,5,6,2,1,3,15,5,0,0,0,170,
153.0,14.0,6576,1014,42,14,346,228,41,14,0,0,53,8,0,6,1,73,0,0,0,1,1,12,15,3,0,0,0,118,
37.0,3.0,1132,184,8,3,346,217,25,3,5,1,68,7,0,7,0,52,1,5,3,3,2,8,25,2,0,0,0,129,
132.0,12.0,5525,874,36,12,344,216,30,4,0,0,61,10,0,5,0,69,0,6,6,1,2,4,12,6,0,0,0,128,
101.0,9.0,6003,932,40,13,346,209,55,7,2,0,31,5,0,3,0,81,0,2,0,0,1,7,13,2,0,0,0,137,
109.0,10.0,4458,708,29,10,345,225,32,4,1,0,71,4,1,8,0,73,0,2,6,3,1,4,13,2,0,0,0,120,
27.0,2.0,804,125,7,2,348,203,33,6,0,2,36,8,2,7,0,79,0,0,2,0,2,5,17,4,0,0,0,145,
70.0,6.0,2501,392,16,6,347,239,44,6,4,0,64,3,0,9,0,70,0,4,5,0,1,6,20,3,0,0,0,108,
35.0,3.0,1099,177,8,3,343,213,29,4,0,0,70,1,0,7,1,65,0,5,3,0,2,6,17,3,0,0,0,130,
134.0,13.0,5589,883,39,13,337,199,44,11,0,0,40,6,1,9,0,54,0,1,2,0,2,8,13,8,0,0,0,138,
92.0,9.0,3736,576,24,9,343,200,30,2,1,0,48,4,1,9,0,62,0,5,3,0,2,7,18,8,0,0,0,143,
68.0,6.0,2332,368,16,6,347,236,28,8,0,1,82,11,2,5,3,59,0,3,3,0,0,5,20,5,0,1,0,111,
19.0,1.0,511,87,6,1,344,165,24,2,0,0,65,4,0,6,1,37,0,2,3,2,2,4,12,1,0,0,0,179,
142.0,13.0,5972,927,40,13,346,217,72,7,0,0,28,7,0,2,0,75,0,0,2,0,2,6,12,4,0,0,0,129,
148.0,14.0,6226,965,42,14,350,203,45,5,0,0,34,6,0,2,0,82,0,4,2,0,0,5,16,2,0,0,0,147,
19.0,1.0,481,82,6,1,345,162,14,2,0,0,61,5,1,4,0,35,0,3,6,0,1,4,22,4,0,0,0,183,
103.0,10.0,4191,664,25,10,345,245,33,7,3,3,64,3,0,13,0,75,0,8,3,1,0,4,27,1,0,0,0,100,
97.0,9.0,3920,612,23,9,341,186,22,3,0,0,58,1,0,11,2,50,1,4,4,3,1,9,14,3,0,0,0,155,
75.0,7.0,2779,431,18,7,342,228,47,1,2,1,61,1,3,5,2,58,0,5,6,1,1,6,24,4,0,0,0,114,
91.0,9.0,3714,573,24,9,345,205,19,6,1,1,60,4,0,2,1,71,0,4,4,1,8,10,11,2,0,0,0,140,
109.0,10.0,4415,700,29,10,346,233,37,4,2,1,73,6,0,8,1,60,0,11,2,0,3,3,20,2,0,0,0,113,
146.0,13.0,6154,953,41,13,341,214,37,10,1,0,62,8,0,7,1,57,0,0,3,1,0,3,19,5,0,0,0,127,
114.0,11.0,4627,735,34,11,350,252,32,7,0,1,71,4,0,17,2,65,1,10,3,1,1,5,26,3,0,3,0,98,
22.0,2.0,587,96,7,2,345,213,53,4,1,0,33,5,0,4,0,88,0,2,4,0,0,2,15,2,0,0,0,132,
16.0,1.0,412,69,6,1,337,182,22,5,1,2,62,2,0,6,0,46,0,2,9,3,1,3,14,4,0,0,0,155,
1.0,1.0,1,1,4,1,343,189,21,0,0,0,66,1,0,9,1,45,1,7,4,7,2,4,18,3,0,0,0,154,
73.0,6.0,2680,416,16,6,348,244,37,5,1,0,79,5,0,13,0,62,1,5,7,0,1,5,19,4,0,0,0,104,
89.0,8.0,3442,533,21,8,348,195,13,1,0,1,66,5,0,1,1,61,0,4,14,2,3,6,15,2,0,0,0,153,
45.0,4.0,1415,225,12,4,337,197,26,6,2,2,68,4,0,7,1,40,0,5,4,4,1,6,20,0,0,1,0,140,
26.0,2.0,788,123,7,2,343,209,60,6,0,0,28,3,0,1,0,82,0,3,2,0,1,6,15,2,0,0,0,134,
154.0,14.0,6606,1018,42,14,346,213,50,5,1,1,52,3,0,7,1,62,0,2,2,0,1,4,17,5,0,0,0,133,
98.0,9.0,3998,625,23,9,349,249,47,4,0,0,69,4,1,8,1,63,1,13,2,1,2,3,23,6,0,1,0,100,
111.0,10.0,4499,716,28,10,341,221,29,8,1,0,83,8,0,12,1,46,0,7,5,0,1,6,10,4,0,0,0,120,
105.0,10.0,4248,674,26,10,349,230,31,9,1,1,71,6,0,10,0,51,0,8,6,0,1,4,24,7,0,0,0,119,
123.0,11.0,5012,795,32,11,348,244,28,9,1,0,70,6,1,9,2,68,0,3,9,2,2,6,21,7,0,0,0,104,
138.0,13.0,5773,904,40,13,347,223,40,8,0,0,61,8,0,10,0,66,0,1,3,0,0,5,17,3,0,1,0,124,
108.0,10.0,4400,697,29,10,343,238,26,7,0,1,80,7,1,3,2,69,0,7,9,0,2,6,18,0,0,0,0,105,
165.0,15.0,7179,1110,46,15,344,229,35,8,0,0,72,4,1,15,0,51,0,5,6,0,1,4,20,6,0,1,0,115,
120.0,11.0,4895,776,32,11,344,233,38,9,0,0,54,9,0,6,2,77,1,4,6,0,1,3,20,3,0,0,0,111,
123.0,11.0,5010,794,32,11,348,244,42,6,0,0,63,4,0,11,2,73,1,6,2,1,0,4,20,9,0,0,0,104,
75.0,7.0,2793,433,18,7,341,237,45,6,0,0,58,3,0,16,0,73,0,5,3,0,2,1,22,2,0,1,0,104,
110.0,10.0,4470,710,28,10,345,223,35,7,0,0,75,3,0,11,1,56,0,3,7,0,3,5,13,3,0,1,0,122,
45.0,4.0,1424,227,12,4,336,210,29,2,1,0,82,0,1,4,1,51,0,4,6,0,0,7,14,6,0,2,0,126,
39.0,3.0,1206,193,8,3,345,210,33,7,2,0,54,4,0,7,1,68,1,4,7,1,0,4,15,2,0,0,0,135,
83.0,7.0,3083,472,17,7,347,206,39,4,0,0,39,4,1,6,0,66,0,2,9,0,1,8,22,4,0,1,0,141,
30.0,3.0,928,145,8,3,344,186,31,5,1,0,43,3,0,9,1,66,0,2,2,0,2,2,17,2,0,0,0,158,
89.0,8.0,3511,543,21,8,347,197,11,1,0,2,73,1,0,4,0,61,0,3,6,1,0,5,23,6,0,0,0,150,
166.0,15.0,7207,1115,48,15,345,235,31,7,0,1,88,8,0,8,2,52,0,4,6,2,1,6,13,6,0,0,0,110,
100.0,9.0,4054,636,22,9,349,240,31,9,0,2,71,7,1,4,0,66,0,7,5,3,2,6,19,6,0,1,0,109,
100.0,9.0,4045,634,22,9,349,240,36,9,2,0,71,7,0,12,0,59,1,5,6,1,0,3,19,9,0,0,0,109,
